TimeDate,KP,DCC (m),Easting (m),Northing (m),TOP (m),BOP (m),MADJ (m),MSBL (m),DOC (m),DOL (m),Comment
14/08/2017,0.233,-1.53,335687.06,6464357.91,141.26,141.53,141.59,141.29,-0.33,-0.03,
14/08/2017,0.235,-1.43,335686.07,6464357.69,141.24,141.51,141.59,141.29,-0.35,-0.05,
14/08/2017,0.235,-1.32,335685.09,6464357.48,141.23,141.5,141.54,141.26,-0.31,-0.03,
14/08/2017,0.236,-1.22,335684.16,6464357.28,141.21,141.49,141.53,141.29,-0.32,-0.08,
14/08/2017,0.237,-1.1,335683.13,6464357.07,141.2,141.47,141.51,141.22,-0.31,-0.02,
14/08/2017,0.239,-0.97,335682.1,6464356.87,141.18,141.45,141.25,141.15,-0.07,0.03,
14/08/2017,0.239,-0.84,335681.15,6464356.69,141.16,141.43,141.22,141.07,-0.06,0.09,
14/08/2017,0.241,-0.68,335680.08,6464356.49,141.14,141.42,141.17,141.08,-0.03,0.06,
14/08/2017,0.242,-0.54,335679.14,6464356.32,141.13,141.4,141.18,140.96,-0.05,0.17,
14/08/2017,0.242,-0.4,335678.18,6464356.15,141.12,141.39,141.11,141.21,0.01,-0.09,
14/08/2017,0.243,-0.25,335677.21,6464355.97,141.11,141.38,141.07,141.14,0.04,-0.03,
14/08/2017,0.244,-0.11,335676.2,6464355.79,141.1,141.38,141.04,141.14,0.06,-0.04,
14/08/2017,0.245,0.02,335675.21,6464355.61,141.1,141.37,140.97,141.01,0.13,0.09,
14/08/2017,0.246,0.14,335674.22,6464355.43,141.09,141.37,140.93,140.82,0.16,0.27,
14/08/2017,0.247,0.27,335673.23,6464355.25,141.1,141.37,140.9,140.86,0.2,0.24,
14/08/2017,0.248,0.38,335672.26,6464355.06,141.12,141.4,140.92,140.82,0.2,0.3,
14/08/2017,0.249,0.45,335671.28,6464354.87,141.17,141.44,140.99,140.84,0.18,0.33,
14/08/2017,0.25,0.51,335670.37,6464354.69,141.23,141.5,141.24,140.89,-0.01,0.34,
14/08/2017,0.251,0.57,335669.4,6464354.49,141.31,141.58,141.45,140.86,-0.14,0.45,
14/08/2017,0.252,0.63,335668.35,6464354.27,141.38,141.65,141.63,140.94,-0.25,0.44,
14/08/2017,0.253,0.68,335667.44,6464354.07,141.43,141.7,141.68,141.04,-0.25,0.39,
14/08/2017,0.254,0.72,335666.49,6464353.86,141.47,141.74,141.73,141.16,-0.26,0.31,
14/08/2017,0.255,0.77,335665.43,6464353.62,141.5,141.77,141.76,141.1,-0.26,0.4,
14/08/2017,0.256,0.82,335664.46,6464353.4,141.53,141.8,141.82,141.12,-0.29,0.41,
14/08/2017,0.257,0.86,335663.56,6464353.19,141.56,141.83,141.8,141.17,-0.24,0.39,
14/08/2017,0.258,0.91,335662.53,6464352.96,141.6,141.88,141.76,141.22,-0.16,0.38,
14/08/2017,0.259,0.96,335661.64,6464352.76,141.65,141.92,141.74,141.15,-0.09,0.5,
14/08/2017,0.26,1,335660.67,6464352.55,141.69,141.96,141.74,141,-0.05,0.69,
14/08/2017,0.261,1.05,335659.71,6464352.34,141.73,142,141.76,141.16,-0.03,0.57,
14/08/2017,0.262,1.1,335658.69,6464352.12,141.76,142.03,141.82,141.13,-0.06,0.63,
14/08/2017,0.263,1.16,335657.77,6464351.94,141.78,142.05,141.87,141.12,-0.09,0.66,
14/08/2017,0.264,1.23,335656.76,6464351.74,141.8,142.07,141.91,141.06,-0.11,0.74,
14/08/2017,0.265,1.28,335655.76,6464351.55,141.82,142.09,141.93,141.06,-0.11,0.76,
14/08/2017,0.266,1.33,335654.89,6464351.4,141.83,142.11,141.91,141.02,-0.08,0.81,
14/08/2017,0.267,1.39,335653.84,6464351.22,141.85,142.12,141.84,141.05,0.01,0.8,
14/08/2017,0.268,1.44,335652.93,6464351.07,141.86,142.14,141.75,141.04,0.11,0.82,
14/08/2017,0.269,1.49,335651.94,6464350.89,141.87,142.15,141.66,141.04,0.21,0.83,
14/08/2017,0.27,1.54,335650.89,6464350.7,141.89,142.16,141.63,141.01,0.26,0.88,
14/08/2017,0.275,1.56,335646.02,6464349.77,141.91,142.19,141.78,140.96,0.13,0.95,
14/08/2017,0.276,1.57,335645.16,6464349.61,141.92,142.19,141.8,140.97,0.12,0.95,
14/08/2017,0.277,1.62,335644.1,6464349.41,141.92,142.19,141.83,141,0.09,0.92,
14/08/2017,0.278,1.66,335643.12,6464349.22,141.92,142.19,141.85,140.93,0.07,0.99,
14/08/2017,0.279,1.72,335642.09,6464349.04,141.91,142.19,141.92,140.94,-0.01,0.97,
14/08/2017,0.28,1.78,335641.11,6464348.88,141.91,142.18,141.93,140.97,-0.02,0.94,
14/08/2017,0.281,1.84,335640.2,6464348.72,141.9,142.18,141.91,140.94,-0.01,0.96,
14/08/2017,0.282,1.89,335639.22,6464348.55,141.9,142.17,141.81,140.98,0.09,0.92,
14/08/2017,0.283,1.94,335638.22,6464348.37,141.89,142.16,141.71,140.92,0.18,0.97,
14/08/2017,0.284,1.98,335637.22,6464348.19,141.88,142.16,141.67,140.93,0.21,0.95,
14/08/2017,0.285,2.02,335636.24,6464348,141.88,142.15,141.6,140.91,0.28,0.97,
14/08/2017,0.29,2.05,335631.42,6464346.99,141.84,142.11,141.53,140.89,0.31,0.95,
14/08/2017,0.292,2.02,335629.45,6464346.55,141.82,142.09,141.61,140.88,0.21,0.94,
14/08/2017,0.293,1.97,335628.54,6464346.34,141.81,142.08,141.72,140.94,0.09,0.87,
14/08/2017,0.294,1.92,335627.6,6464346.11,141.8,142.07,141.82,140.91,-0.02,0.89,
14/08/2017,0.295,1.87,335626.69,6464345.89,141.79,142.07,141.86,140.88,-0.07,0.91,
14/08/2017,0.296,1.81,335625.73,6464345.66,141.79,142.06,141.85,140.83,-0.06,0.96,
14/08/2017,0.297,1.77,335624.73,6464345.43,141.79,142.06,141.84,140.9,-0.05,0.89,
14/08/2017,0.298,1.73,335623.74,6464345.22,141.78,142.06,141.83,140.87,-0.05,0.91,
14/08/2017,0.299,1.7,335622.85,6464345.03,141.78,142.06,141.75,140.85,0.03,0.93,
14/08/2017,0.3,1.67,335621.88,6464344.84,141.78,142.05,141.64,140.99,0.14,0.79,
14/08/2017,0.305,1.56,335617.1,6464343.85,141.78,142.06,141.56,141.18,0.22,0.6,
14/08/2017,0.31,1.41,335612.18,6464342.8,141.81,142.08,141.57,140.91,0.24,0.9,
14/08/2017,0.315,1.08,335607.28,6464341.73,141.86,142.14,141.51,141.18,0.35,0.68,
14/08/2017,0.316,0.98,335606.31,6464341.51,141.88,142.15,141.53,141.11,0.35,0.77,
14/08/2017,0.317,0.87,335605.32,6464341.27,141.89,142.17,141.54,141.03,0.35,0.86,
14/08/2017,0.318,0.76,335604.38,6464341.04,141.91,142.18,141.77,140.98,0.14,0.93,
14/08/2017,0.319,0.64,335603.44,6464340.81,141.92,142.19,141.88,141.05,0.04,0.87,
14/08/2017,0.32,0.51,335602.5,6464340.59,141.93,142.21,142.12,141.04,-0.19,0.89,
14/08/2017,0.321,0.39,335601.52,6464340.36,141.95,142.22,142.2,141.04,-0.25,0.91,
14/08/2017,0.322,0.28,335600.54,6464340.16,141.96,142.23,142.19,141.02,-0.23,0.94,
14/08/2017,0.323,0.18,335599.55,6464339.97,141.97,142.24,142.21,141,-0.24,0.97,
14/08/2017,0.324,0.09,335598.59,6464339.78,141.98,142.25,142.26,141.03,-0.28,0.95,
14/08/2017,0.325,-0.01,335597.52,6464339.57,141.99,142.26,142.25,141.04,-0.26,0.95,
14/08/2017,0.326,-0.1,335596.63,6464339.39,141.99,142.26,142.24,140.97,-0.25,1.02,
14/08/2017,0.327,-0.18,335595.68,6464339.21,141.99,142.27,142.2,140.92,-0.21,1.07,
14/08/2017,0.328,-0.27,335594.7,6464339.02,141.99,142.27,142.08,140.87,-0.09,1.12,
14/08/2017,0.329,-0.34,335593.72,6464338.85,141.99,142.27,142.05,140.88,-0.06,1.11,
14/08/2017,0.33,-0.41,335592.67,6464338.67,141.99,142.26,142.08,140.88,-0.09,1.11,
14/08/2017,0.331,-0.46,335591.73,6464338.52,141.98,142.25,142,140.83,-0.02,1.15,
14/08/2017,0.332,-0.5,335590.76,6464338.34,141.97,142.24,141.94,140.89,0.03,1.08,
14/08/2017,0.333,-0.55,335589.81,6464338.16,141.96,142.23,141.83,140.81,0.13,1.15,
14/08/2017,0.334,-0.61,335588.86,6464337.96,141.94,142.22,141.8,140.73,0.14,1.21,
